Intersection,Junction_ID
Hai Ba Trung - Nguyen Thi Minh Khai,411926580
Pham Ngoc Thach - Nguyen Thi Minh Khai,411925946
Pasteur - Nguyen Thi Minh Khai,411926604
Nam Ky Khoi Nghia - Nguyen Thi Minh Khai,2664205599
Nam Ky Khoi Nghia - Vo Van Tan,411926212
Pasteur - Vo Van Tan,411925942
Ho Con Rua,411926599
Hai Ba Trung - Tran Cao Van,411926578
Hai Ba Trung - Nguyen Dinh Chieu,411926523
Pham Ngoc Thach - Nguyen Dinh Chieu,411926597
Pasteur - Nguyen Dinh Chieu,411926554
Nam Ky Khoi Nghia - Nguyen Dinh Chieu,411926164
Nam Ky Khoi Nghia - Dien Bien Phu,411926532
Pasteur - Dien Bien Phu,411926559
Pham Ngoc Thach - Dien Bien Phu,411926419
Hai Ba Trung - Dien Bien Phu,411926477
